"id","title","year","language","authors"
"mdp.39015086661546","National negro health week.","1931","eng","United States Public Health Service"
"mdp.39015086661843","National negro health week.","1930","eng","United States Public Health Service"
"uc1.b3143143","National Negro Health Week. Annual Observance","1934","eng","United States Public Health Service"
"mdp.39015062317741","National negro health week.","1924","eng","United States Public Health Service"
"mdp.39015086661538","National negro health week.","1928","eng","United States Public Health Service"
"mdp.39015062317733","National negro health week.","1925","eng","United States Public Health Service"
"mdp.39015062317667","National negro health week.","1923","eng","United States Public Health Service"
"mdp.39015086661694","National negro health week.","1929","eng","United States Public Health Service"
"mdp.39015086660951","National negro health week.","1932","eng","United States Public Health Service"
"mdp.39015062317717","National negro health week.","1926","eng","United States Public Health Service"
"chi.62487427","","","",""
"mdp.39015086661256","","","",""
"mdp.39015086661108","","","",""
"osu.32435031348568","","","",""
"mdp.39015086661272","","","",""
